effect,f_baseline,f_ancova,f_change,pct_change
Therapeutic Area,18.699578594140437,10.277050036542116,-8.422528557598321,-45.04127467470065
Interaction,2.433274055822597,1.1269088141594024,-1.3063652416631948,-53.68755067014277
